study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
P325,"Umbrico, A., Cesta, A., Cortellessa, G., & Orlandini, A. (2020). A holistic approach to behavior adaptation for socially assistive robots. International Journal of Social Robotics, 12(3), 617-637.","@article{umbrico2020holistic,
  title={A holistic approach to behavior adaptation for socially assistive robots},
  author={Umbrico, Alessandro and Cesta, Amedeo and Cortellessa, Gabriella and Orlandini, Andrea},
  journal={International Journal of Social Robotics},
  volume={12},
  number={3},
  pages={617--637},
  year={2020},
  publisher={Springer}
}",2020,1,"CNR – Italian National Research Council, ISTC – Institute of Cognitive Sciences and Technologies",CS,,,THEOR,N/A,N/A,N/A,healthcare,OTHER,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,A,1,0,0,0,,0,1,,cognitive capabilities theories though holistic,N/A,N/A,,COGNITIVE ARCHITECTURE,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,an example of evaluation is provided
P326,"Rossi, S., Larafa, M., & Ruocco, M. (2020). Emotional and behavioural distraction by a social robot for children anxiety reduction during vaccination. International Journal of Social Robotics, 12, 765-777.","@article{rossi2020emotional,
  title={Emotional and behavioural distraction by a social robot for children anxiety reduction during vaccination},
  author={Rossi, Silvia and Larafa, Marwa and Ruocco, Martina},
  journal={International Journal of Social Robotics},
  volume={12},
  pages={765--777},
  year={2020},
  publisher={Springer}
}",2020,1,"Department of Electrical Engineering and Information Technologies, University of Naples Federico II, Naples, Italy, Department of Experimental Medicine, University of Perugia, Terni, Italy
,School of Computer Science, University of Manchester, Manchester, UK
 ",CS,MED,,QUANT,anxiety reduction,psychopathology,anxiety reduction,healthcare,MENTAL,VACCINE CENTER,1,SINGLE,139,single session,2 month long study in a vaccine center,children,"3, 12",N.R.,"M56, F82",0,82,56,SEX,italian,Italy,Southern Europe,,NAO,,,,,physical,interacting,WoZ,N/A,emotional expression,WoZ,N/A,WoZ,0,1,0,1,1,1,1,empirical study with children, Cognitive-Behavioural therapy,QUESTIONNAIRES,statistical tests,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P328,"Allouch, S. B., & van Velsen, L. (2020, June). Social Robots for Elderly Care: An Inventory of Promising Use Cases and Business Models. In MIE (pp. 1046-1050).","@inproceedings{allouch2020social,
  title={Social Robots for Elderly Care: An Inventory of Promising Use Cases and Business Models.},
  author={Allouch, Somaya Ben and van Velsen, Lex},
  booktitle={MIE},
  pages={1046--1050},
  year={2020}
}",2020,3,"Amsterdam University of Applied Sciences, Amsterdam, The Netherlands, Roessingh Research and Development, Enschede, The Netherlands ",SS,,,QUAL,well-being,well-being,N/A,elderly care,HEALTH,CARE-CENTER,1,SINGLE,5,focus group,,elderly,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,german,Germany,Western Europe,care professionals involved in the focus groups,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,0,,,INTERVIEWS,qualitative,,N/A,user-centered,caregiver professionals,N.R.,privacy,N.R.,1,,0,0,Y,
P328,"Allouch, S. B., & van Velsen, L. (2020, June). Social Robots for Elderly Care: An Inventory of Promising Use Cases and Business Models. In MIE (pp. 1046-1050).","@inproceedings{allouch2020social,
  title={Social Robots for Elderly Care: An Inventory of Promising Use Cases and Business Models.},
  author={Allouch, Somaya Ben and van Velsen, Lex},
  booktitle={MIE},
  pages={1046--1050},
  year={2020}
}",2020,1,"Amsterdam University of Applied Sciences, Amsterdam, The Netherlands, Roessingh Research and Development, Enschede, The Netherlands ",SS,,,QUAL,well-being,well-being,N/A,elderly care,HEALTH,CARE-CENTER,1,SINGLE,6,focus group,,elderly,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,dutch,Netherlands,Western Europe,care professionals involved in the focus groups,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,0,,,INTERVIEWS,qualitative,,N/A,user-centered,caregiver professionals,N.R.,privacy,N.R.,1,,0,0,Y,
P328,"Allouch, S. B., & van Velsen, L. (2020, June). Social Robots for Elderly Care: An Inventory of Promising Use Cases and Business Models. In MIE (pp. 1046-1050).","@inproceedings{allouch2020social,
  title={Social Robots for Elderly Care: An Inventory of Promising Use Cases and Business Models.},
  author={Allouch, Somaya Ben and van Velsen, Lex},
  booktitle={MIE},
  pages={1046--1050},
  year={2020}
}",2020,2,"Amsterdam University of Applied Sciences, Amsterdam, The Netherlands, Roessingh Research and Development, Enschede, The Netherlands ",SS,,,QUAL,well-being,well-being,N/A,elderly care,HEALTH,CARE-CENTER,1,SINGLE,7,focus group,,elderly,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,dutch,Netherlands,Western Europe,care professionals involved in the focus groups,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,0,,,INTERVIEWS,qualitative,,N/A,user-centered,caregiver professionals,N.R.,privacy,N.R.,1,,0,0,Y,
P339,"Ni, Q., Gao, Z., & Lin, J. (2020, April). Research on the design of emotional intelligent robot for empty nesters. In 2020 3rd International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE) (pp. 226-229). IEEE.","@inproceedings{ni2020research,
  title={Research on the design of emotional intelligent robot for empty nesters},
  author={Ni, Qing and Gao, Zhu and Lin, Jingpeng},
  booktitle={2020 3rd International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)},
  pages={226--229},
  year={2020},
  organization={IEEE}
}",2020,1,"Shangai University of Engineering Science, Shangai, China",ENG,,,THEOR,well-being,well-being,N/A,elderly care,OTHER,N/A,N/A,N/A,N/A,N/A,,elderly,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,they design their own robot,CUSTOM,N/A,,,,N/A,N/A,N/A,app,emotional extression,N/A,emotion recognition,N/A,0,1,0,1,,0,0,,,N/A,N/A,,N/A,N.R.,N.R.,N.R.,N.R.,N.R.,0,,0,0,Y,
P340,"Georgiou, T., Singh, K., Baillie, L., & Broz, F. (2020, March). Small robots with big tasks: A proof of concept implementation using a miro for fall alert. In Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction (pp. 206-208).","@inproceedings{georgiou2020small,
  title={Small robots with big tasks: A proof of concept implementation using a miro for fall alert},
  author={Georgiou, Theodoros and Singh, Karan and Baillie, Lynne and Broz, Frank},
  booktitle={Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={206--208},
  year={2020}
}",2020,1,"School of Mathematical and Computer Sciences Heriot-Watt University Edinburgh, UK",CS,,,THEOR,well-being,well-being,N/A,elderly care,HEALTH,N/A,N/A,N/A,N/A,N/A,it was a proof of concept,elderly,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,Miro,N/A,,,,physical,N/A,N/A,N/A,N/A,N/A,fall detection (not really an affective capability),A,1,0,0,0,,0,N/A,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P342,"Herath, D., McFarlane, J., Jochum, E. A., Grant, J. B., & Tresset, P. (2020, March). Arts+ health: New approaches to arts and robots in health care. In Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction (pp. 1-7).","@inproceedings{herath2020arts+,
  title={Arts+ health: New approaches to arts and robots in health care},
  author={Herath, Damith and McFarlane, Jennifer and Jochum, Elizabeth Ann and Grant, Janie Busby and Tresset, Patrick},
  booktitle={Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={1--7},
  year={2020}
}",2020,1,"Human Centred Technology Research Centre  University of Canberra, Curator, Arts in Health Canberra Health Services  Canberra, ACT, Australia, Department of Communication and Psychology Aalborg University, ",CS,PSY,,QUANT,well-being,well-being,well-being/creativity,"healthcare, art",CREATIVE,HOSPITAL,1,SINGLE,17,single session,study during an event (hospital exhibition),neurotypical,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,english,Australia,Oceania,patients and hospital carers,CUSTOM,N/A,,,,physical,observing,A,N/A,N/A,A,N/A,N/A,1,1,0,0,1,1,0,mutiple session study,,MIXED,"questionnaires, and interviews, qualitative evaluation",,N/A,N/A,N/A,N/A,N/A,N/A,0,both the university and the hospital ethics committee approved the study,1,1,Y,
P344,"Winkle, K., Lemaignan, S., Caleb-Solly, P., Leonards, U., Turton, A., & Bremner, P. (2020, March). Couch to 5km robot coach: an autonomous, human-trained socially assistive robot. In Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction (pp. 520-522).","@inproceedings{winkle2020couch,
  title={Couch to 5km robot coach: an autonomous, human-trained socially assistive robot},
  author={Winkle, Katie and Lemaignan, S{\'e}verin and Caleb-Solly, Praminda and Leonards, Ute and Turton, Ailie and Bremner, Paul},
  booktitle={Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={520--522},
  year={2020}
}",2020,1,"Bristol Robotics Laboratory, Bristol, U.K, Allied Health Professions UWE, Bristol, U.K, School of Psychological Science, University of Bristol, Bristol, U.K",CS,PSY,,QUANT,physical well-being,physical health,N/A,physical training,HEALTH,GYM,27,>30,10,long-term,,neurotypical,"26, 60",36.2,"F6, M4",0,6,4,SEX,english,UK,Northern Europe,,PEPPER,,,,,physical,interacting,SA,tablet to control the exercise of the robot,N/A,A,N/A,A,1,1,0,0,1,0,0,long-term study,,N/A,N/A,,ML,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P347,"Zhou, S., Murali, P., Underhill-Blazey, M., & Bickmore, T. (2020, March). Cancer genetic counseling by humanoid robot: modeling multimodal communication of health risk. In Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction (pp. 543-545).","@inproceedings{zhou2020cancer,
  title={Cancer genetic counseling by humanoid robot: modeling multimodal communication of health risk},
  author={Zhou, Shuo and Murali, Prasanth and Underhill-Blazey, Meghan and Bickmore, Timothy},
  booktitle={Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={543--545},
  year={2020}
}",2020,1,"Northeastern University, Boston, MA, Dana-Farber Cancer Institute /Harvard Medical School, Boston, MA",MED,,,QUANT,cancer literacy,other,"cancer literacy, robot usefulness",healthcare,HEALTH,LAB,1,SINGLE,10,single session,,neurotypical,N.R.,20.8,F10,0,10,0,SEX,english,US,North America,,PEPPER,,,,,physical,interacting,SA,N/A,N/A,SA,N/A,SA,0,1,0,0,1,1,1,single session study,cancer literacy,QUESTIONNAIRES,statistical analysis,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P348,"Papadopoulos, C., Hill, T., Battistuzzi, L., Castro, N., Nigath, A., Randhawa, G., ... & Sgorbissa, A. (2020). The CARESSES study protocol: testing and evaluating culturally competent socially assistive robots among older adults residing in long term care homes through a controlled experimental trial. Archives of Public Health, 78, 1-10.","@article{papadopoulos2020caresses,
  title={The CARESSES study protocol: testing and evaluating culturally competent socially assistive robots among older adults residing in long term care homes through a controlled experimental trial},
  author={Papadopoulos, Chris and Hill, Tetiana and Battistuzzi, Linda and Castro, Nina and Nigath, Abiha and Randhawa, Gurch and Merton, Len and Kanoria, Sanjeev and Kamide, Hiroko and Chong, Nak-Young and others},
  journal={Archives of Public Health},
  volume={78},
  pages={1--10},
  year={2020},
  publisher={Springer}
}",2020,1,"University of Bedfordshire, Park Square Campus, Luton, LU1 3JU, UK, Advinia Health Care Limited LTD, 314 Regents Park Road, London, N3 2JX, UK, Nagoya University, Furocho, Chikusaku, Nagoya, Aichi, 464-8601, Japan, Department of Informatics, Bioengineering, Robotics and Systems Engineering, University of Genova, Via all’Opera Pia 13, 16145, Genova, Italy
",CS,,,QUANT,well-being,well-being,"loneliness, attitude towards the robot, cultural differences",elderly care,HEALTH,CARE-CENTER,6,<=10,45,RCT,half of participants were assigned to the control group and the other half to the robot group,elderly,"65, N.R.",N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,"english, japanease, indian","UK, Japan",Multi-national,,N.R.,N.R.,N.R.,,,physical,interacting,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,1,1,elderly study,,QUESTIONNAIRES,statistical analysis,,N.R.,N/A,N/A,N/A,N/A,"attachment, authentic interaction and reciprocity; substitution for social contact; autonomy; culturally determined values and preferences; dignity and personhood; privacy; informed consent; preventing harm; and stigma",1,,0,1,Y,
P351,"Björling, E. A., Thomas, K., Rose, E. J., & Cakmak, M. (2020). Exploring teens as robot operators, users and witnesses in the wild. Frontiers in Robotics and AI, 7, 5.","@article{bjorling2020exploring,
  title={Exploring teens as robot operators, users and witnesses in the wild},
  author={Bj{\""o}rling, Elin A and Thomas, Kyle and Rose, Emma J and Cakmak, Maya},
  journal={Frontiers in Robotics and AI},
  volume={7},
  pages={5},
  year={2020},
  publisher={Frontiers Media SA}
}",2020,1,"Momentary Experience Lab, Human Centered Design and Engineering, University of Washington, Seattle, WA, United States
2School of Interdisciplinary Arts and Sciences, University of Washington Tacoma, Tacoma, WA, United States
3Human-Centered Robotics Lab, Paul G. Allen School of Computer Science & Engineering, University of Washington, Seattle, WA, United States",CS,ART,,QUANT,teens stress,stress,attitude towards the robot,healthcare,SOCIAL,SCHOOL,1,SINGLE,62,single session,,adolescents,"14,18",13.95,"F24, M32, NB5",5,24,32,SEX,english,US,North America,,BLOSSOM,EMAR,,,,physical,interacting,WoZ,"smartphone, laptop",N.R.,WoZ,N.R.,WoZ,0,1,0,0,,0,1,,teens stress release,MIXED,statistical analysis,,N/A,PD,teens,WoZ,N.R.,"trust, transparency",1,,0,1,Y,
P353,"Whelan, S., Burke, M., Barrett, E., Mannion, A., Kovacic, T., Santorelli, A., ... & Casey, D. (2020). The effects of MARIO, a social robot, on the resilience of people with dementia: A multiple case study. Gerontechnology, 20(1), 1-16.","@article{whelan2020effects,
  title={The effects of MARIO, a social robot, on the resilience of people with dementia: A multiple case study},
  author={Whelan, Sally and Burke, Megan and Barrett, Eva and Mannion, Arlene and Kovacic, Tanja and Santorelli, Adam and Oliveira, Barbara Luz and Gannon, Louise and Shiel, Edel and Casey, Dympna},
  journal={Gerontechnology},
  volume={20},
  number={1},
  pages={1--16},
  year={2020},
  publisher={元智大學老人福祉科技研究中心}
}",2020,1,"a
School of Nursing & Midwifery, National University of Ireland Galway, Ireland; b
School
of Political Science and Sociology, National University of Ireland Galway, Ireland; c
Translational Medical Device Lab, National University of Ireland, Galway Ireland; d
St. Brendan’s Community Nursing Unit, Loughrea, Co. Galway Ireland",SS,MED,,QUANT,resilience to stress,stress,"resilience, attitude towards the robot",elderly care,MENTAL,CARE-CENTER,12,<=30,10,long-term,"5 weeks, interaction 3 times/week",elderly,N.R.,83,"F7, M3",0,7,3,SEX,english,Ireland,Northern Europe,,MARIO,,,,,physical,interacting,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0,1,0,0,,1,1,,resilience via using the robot,MIXED,statistical and thematic analysis,,N.R.,PD,"caregivers, relatives",N.R.,"distress, mental well-being",N.R.,1,,0,1,Y,
P355,"Fiske, A., Henningsen, P., & Buyx, A. (2020). The implications of embodied artificial intelligence in mental healthcare for digital wellbeing. Ethics of Digital Well-Being: A Multidisciplinary Approach, 207-219.","@article{fiske2020implications,
  title={The implications of embodied artificial intelligence in mental healthcare for digital wellbeing},
  author={Fiske, Amelia and Henningsen, Peter and Buyx, Alena},
  journal={Ethics of Digital Well-Being: A Multidisciplinary Approach},
  pages={207--219},
  year={2020},
  publisher={Springer}
}",2020,1,"Institute for History and Ethics of Medicine, Technical University of Munich School
of Medicine, Technical University of Munich, Munich, Germany  Department of Psychosomatic Medicine and Psychotherapy, Klinikum rechts der Isar
at Technical University of Munich, Munich, Germany",HUM,MED,,THEOR,mental well-being,well-being,N/A,mental healthcare,MENTAL,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,0,1,0,1,theoretical paper,,N/A,N/A,,N/A,N/A,N/A,N/A,"risk assessment, data privacy, ",elimination of existing services,1,,0,0,Y,
P367,"Björling, E. A., Ling, H., Bhatia, S., & Dziubinski, K. (2020). The experience and effect of adolescent to robot stress disclosure: A mixed-methods exploration. In Social Robotics: 12th International Conference, ICSR 2020, Golden, CO, USA, November 14–18, 2020, Proceedings 12 (pp. 604-615). Springer International Publishing.","@inproceedings{bjorling2020experience,
  title={The experience and effect of adolescent to robot stress disclosure: A mixed-methods exploration},
  author={Bj{\""o}rling, Elin A and Ling, Honson and Bhatia, Simran and Dziubinski, Kimberly},
  booktitle={Social Robotics: 12th International Conference, ICSR 2020, Golden, CO, USA, November 14--18, 2020, Proceedings 12},
  pages={604--615},
  year={2020},
  organization={Springer}
}",2020,1,"University of Washington, Seattle, WA, 98105, USA
",N.R.,,,QUANT,well-being,well-being,stress disclosure,"education, stress",MENTAL,SCHOOL,1,SINGLE,69,within-subject,1 session x 3 conditions,adolescents,"14, 21",17.4,"F39, M30",0,39,30,SEX,english,US,North America,,EMAR,,,,,physical,interacting,WoZ,"tablets, virtual reality",N.R.,WoZ,N.R.,WoZ,0,1,0,0,1,0,0,empirical study,,QUESTIONNAIRES,statistical,,STATISTICAL,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P374,"Robillard, J. M., & Kabacińska, K. (2020). Realizing the potential of robotics for aged care through co-creation. Journal of Alzheimer's Disease, 76(2), 461-466.","@article{robillard2020realizing,
  title={Realizing the potential of robotics for aged care through co-creation},
  author={Robillard, Julie M and Kabaci{\'n}ska, Katarzyna},
  journal={Journal of Alzheimer's Disease},
  volume={76},
  number={2},
  pages={461--466},
  year={2020},
  publisher={IOS Press}
}",2020,1,"Division of Neurology, Department of Medicine, University of British Columbia, Vancouver, BC, Canada, BC Children’s and Women’s Hospital, Vancouver, BC, Canada",MED,,,QUAL,elderly well-being,well-being,N/A,elderly healthcare,CREATIVE,CONFERENCE,1,SINGLE,31,focus group,,neurotypical,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,english,Canada,North America,,Roomba,PEPPER,CUSTOM,,,picture,observing,N/A,smart home devices (picture),N/A,N/A,N/A,N/A,0,1,1,0,,0,0,,,MIXED,questionnaires (poll questions) + discussion,,N/A,User-centred,conference attendees,poll questions ,"use of data, data privacy, emotional attachment","accountability and responsability, accessibility",1,,0,0,Y,
P380,"Poulsen, A., Fosch-Villaronga, E., & Burmeister, O. K. (2020). Cybersecurity, value sensing robots for LGBTIQ+ elderly, and the need for revised codes of conduct. Australasian Journal of Information Systems, 24.","@article{poulsen2020cybersecurity,
  title={Cybersecurity, value sensing robots for LGBTIQ+ elderly, and the need for revised codes of conduct},
  author={Poulsen, Adam and Fosch-Villaronga, Eduard and Burmeister, Oliver K and others},
  journal={Australasian Journal of Information Systems},
  volume={24},
  year={2020},
  publisher={Australian Computer Society}
}",2020,1,"Charles Sturt University, Australia, Leiden Law School, Leiden University",HUM,,,QUAL,well-being,well-being,loneliness,elderly healthcare,OTHER,LAB,1,SINGLE,17,focus group,semi-structured interview,elderly,"65, N.R.",N.R.,"M12, F2, NB3",3,2,12,GENDER,english,Australia,Oceania,,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,0,,,SURVEYS,thematic analysis,,N/A,user-centred,"designers, providers, healthcare professionals",semi-structured interviews,"safety (e.g., physical)","privacy, internet connectivity, security for LGBTIQ+ elders",1,,1,1,Y,
P382,"Unbehaun, D., Aal, K., Carros, F., Wieching, R., & Wulf, V. (2019). Creative and cognitive activities in social assistive robots and older adults: Results from an exploratory field study with Pepper. In Proceedings of the 17th European Conference on Computer-Supported Cooperative Work-Demos and Posters. European Society for Socially Embedded Technologies (EUSSET).","@inproceedings{unbehaun2019creative,
  title={Creative and cognitive activities in social assistive robots and older adults: Results from an exploratory field study with Pepper},
  author={Unbehaun, David and Aal, Konstantin and Carros, Felix and Wieching, Rainer and Wulf, Volker},
  booktitle={Proceedings of the 17th European Conference on Computer-Supported Cooperative Work-Demos and Posters},
  year={2019},
  organization={European Society for Socially Embedded Technologies (EUSSET)}
}",2019,1,"University of Siegen, Germany",N.R.,,,QUAL,"cognitive skills, creativity",cognitive health,"cognitive skills, creativity",elderly care,CREATIVE,CARE-CENTER,multiple ,N.R.,22,long-term,(over 4 months),elderly,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,german,Germany,Western Europe,,PEPPER,,,,,physical,interacting,A,tablet,N.R.,N.R.,N.R.,N.R.,0,1,0,0,,0,1,,cognitive skills development,INTERVIEWS,qualitative evaluation,,N.R.,user-centred,carers,N.R.,N.R.,N.R.,0,,0,0,Y,
P385,"Deublein, A., & Lugrin, B. (2020). (Expressive) Social Robot or Tablet?–On the Benefits of Embodiment and Non-verbal Expressivity of the Interface for a Smart Environment. In Persuasive Technology. Designing for Future Change: 15th International Conference on Persuasive Technology, PERSUASIVE 2020, Aalborg, Denmark, April 20–23, 2020, Proceedings 15 (pp. 85-97). Springer International Publishing.","@inproceedings{deublein2020expressive,
  title={(Expressive) Social Robot or Tablet?--On the Benefits of Embodiment and Non-verbal Expressivity of the Interface for a Smart Environment},
  author={Deublein, Andrea and Lugrin, Birgit},
  booktitle={Persuasive Technology. Designing for Future Change: 15th International Conference on Persuasive Technology, PERSUASIVE 2020, Aalborg, Denmark, April 20--23, 2020, Proceedings 15},
  pages={85--97},
  year={2020},
  organization={Springer}
}",2020,1,"Human-Computer Interaction, University of Würzburg, Würzburg, Germany",CS,,,QUANT,physical well-being,physical health,"workload, usability",workplace,SOCIAL,LAB,1,SINGLE,84,between-subject,,neurotypical,N.R. ,21.25,"M64, F20",0,20,64,SEX,german,Germany,Western Europe,,Reeti,,,,,physical,interacting,WoZ,tablet,emotional expression,WoZ,N.R.,WoZ,0,1,0,1,1,0,0,single session study,,QUESTIONNAIRES,statistical tests,,STATISTICAL,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P391,"Pino, O., Palestra, G., Trevino, R., & De Carolis, B. (2020). The humanoid robot NAO as trainer in a memory program for elderly people with mild cognitive impairment. International Journal of Social Robotics, 12, 21-33.","@article{pino2020humanoid,
  title={The humanoid robot NAO as trainer in a memory program for elderly people with mild cognitive impairment},
  author={Pino, Olimpia and Palestra, Giuseppe and Trevino, Rosalinda and De Carolis, Berardina},
  journal={International Journal of Social Robotics},
  volume={12},
  pages={21--33},
  year={2020},
  publisher={Springer}
}",2020,1,"Department of Medicine and Surgery, University of Parma, Parma, Italy, Institut des Systmes Intelligents et de Robotique, CNRS UMR7222, Sorbonne Université, Paris, France, Department of Computer Science, Universiy of Bari, Bari, Italy

",CS,MED,,QUANT,cognitive skills,cognitive health,memory improvement,elderly healthcare,PSYCH,CARE-CENTER,multiple,N.R.,21,long-term,it was 1 year long study in a care-center,elderly,"45, 85",73.45,"M11, F10",0,10,11,SEX,italian,Italy,Southern Europe,elderly with mild congitive impairments,NAO,,,,,physical,interacting,SA,N.R.,N.R.,SA,N.R.,SA,0,1,0,0,1,1,1,elderly study,memory-based improvement,QUESTIONNAIRES,statistical tests,,STATISTICAL,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
P394,"Moyle, W., Jones, C., Dwan, T., Ownsworth, T., & Sung, B. (2019). Using telepresence for social connection: views of older people with dementia, families, and health professionals from a mixed methods pilot study. Aging & mental health, 23(12), 1643-1650.","@article{moyle2019using,
  title={Using telepresence for social connection: views of older people with dementia, families, and health professionals from a mixed methods pilot study},
  author={Moyle, Wendy and Jones, Cindy and Dwan, Toni and Ownsworth, Tamara and Sung, Billy},
  journal={Aging \& mental health},
  volume={23},
  number={12},
  pages={1643--1650},
  year={2019},
  publisher={Taylor \& Francis}
}",2019,1,"Menzies Health Institute Queensland, Griffith University, Brisbane, Queensland, Australia; ; School of Nursing and Midwifery, Nathan Campus Griffith University, Brisbane, Queensland, Australia;",MED,,,QUANT,dementia care,eldercare,"sense of presence, affective response, and attitude and reactions",elderly healthcare,SOCIAL,LAB,1,SINGLE,22,single session,,dementia,"(69, 87), (59,77), N.R.","78.4, 68.6, 36.33","(M4, F1), (M0, F5), (M0, F12)",0,"1,5,12","4,0,0",SEX,english,Australia,Oceania,"(elderly), (carers), (healthcare professionals)",PEPPER,,,,,physical,interacting,WoZ,laptop,N.R.,WoZ,N.R.,WoZ,0,1,0,0,,1,0,,,MIXED,"statistical tests, thematic analysis",,STATISTICAL,user-centred,"healthcare professionals, carers",N/A,N.R.,N.R.,0,,0,1,Y,
P396,"Fratczak, P., Goh, Y. M., Kinnell, P., Soltoggio, A., & Justham, L. (2019, November). Understanding human behaviour in industrial human-robot interaction by means of virtual reality. In Proceedings of the Halfway to the Future Symposium 2019 (pp. 1-7).","@inproceedings{fratczak2019understanding,
  title={Understanding human behaviour in industrial human-robot interaction by means of virtual reality},
  author={Fratczak, Piotr and Goh, Yee Mey and Kinnell, Peter and Soltoggio, Andrea and Justham, Laura},
  booktitle={Proceedings of the Halfway to the Future Symposium 2019},
  pages={1--7},
  year={2019}
}",2019,1,"Loughborough University
Loughborough, UK",N.R.,,,QUANT,emotional well-being,well-being,trust,workplace,SOCIAL,LAB,1,SINGLE,32,single session,,neurotypical,"19, 36",24.5,"M24, F8",0,8,24,SEX,english,UK,Northern Europe,,CUSTOM,,,,,virtual,interacting,A,virtual reality,N.R.,A,N.R.,A,0,1,0,0,1,0,0,single session study,,QUESTIONNAIRES,statistical tests,,STATISTICAL,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,
